date_of_incident,day_of_week,incident_hour,sex,relationship,lat,lon,Average high,Average low,minutes_of_dark
2021-06-19,6,11,0,0,41.63505906,-81.70019592,82,61,539
2021-06-19,6,11,0,0,41.63505906,-81.70019592,82,61,539
2021-06-03,4,12,0,1,41.63505906,-81.70019592,82,61,548
2021-12-06,1,19,1,0,41.63505906,-81.70019592,41,26,873
2021-12-29,3,8,0,0,41.63505906,-81.70019592,41,26,878
2021-11-12,5,12,1,0,41.63505906,-81.70019592,52,35,836
2021-05-18,2,21,0,1,41.63505906,-81.70019592,73,52,570
2021-04-30,5,11,1,1,41.31717409,-80.76116027,63,41,607
2021-08-08,7,14,0,0,41.63505906,-81.70019592,84,63,600
2021-08-08,7,4,1,1,39.69148045,-83.88988675,84,63,600
2021-06-20,7,4,0,0,41.63505906,-81.70019592,82,61,539
2021-02-27,6,16,0,0,41.6841907,-83.46827478,40,24,766
2021-08-21,6,0,1,1,39.41497801,-83.80837886,84,63,630
2021-01-15,5,11,1,1,40.81388809,-81.3656367,36,20,860
2021-01-17,7,23,0,0,41.63505906,-81.70019592,36,20,857
2021-01-17,7,23,0,0,41.63505906,-81.70019592,36,20,857
2021-06-29,2,18,1,0,41.63505906,-81.70019592,82,61,541
2021-10-12,2,12,1,1,41.63505906,-81.70019592,65,44,763
2021-09-20,1,12,1,0,41.63505906,-81.70019592,77,56,706
2021-01-01,5,0,1,0,39.49702384,-82.47925356,36,20,876
2021-01-01,5,0,1,0,41.63505906,-81.70019592,36,20,876
2021-03-06,6,9,0,1,41.63505906,-81.70019592,52,32,748
2021-03-06,6,9,0,1,41.63505906,-81.70019592,52,32,748
2021-12-01,3,12,1,0,41.63505906,-81.70019592,41,26,868
2021-06-06,7,12,1,1,40.27839378,-83.00488535,82,61,545
2021-11-06,6,12,0,0,41.63505906,-81.70019592,52,35,823
2021-12-21,2,14,0,1,41.63505906,-81.70019592,41,26,880
2021-08-01,7,14,1,1,40.27839378,-83.00488535,84,63,585
2021-03-24,3,22,0,1,41.31717409,-80.76116027,52,32,700
2021-02-21,7,15,1,0,40.27839378,-83.00488535,40,24,781
2021-08-11,3,2,1,0,41.63505906,-81.70019592,84,63,607
2021-06-23,3,12,0,0,40.38501952,-80.76097229,82,61,539
2021-02-17,3,16,1,0,41.63505906,-81.70019592,40,24,791
2021-02-22,1,12,1,0,41.63505906,-81.70019592,40,24,779
2021-08-01,7,0,0,0,41.63505906,-81.70019592,84,63,585
2021-07-05,1,20,1,1,40.27839378,-83.00488535,85,65,546
2021-04-04,7,4,1,1,41.63505906,-81.70019592,63,41,671
2021-04-04,7,4,1,1,41.63505906,-81.70019592,63,41,671
2021-11-30,2,11,1,1,41.63505906,-81.70019592,52,35,866
2021-11-06,6,18,1,0,41.63505906,-81.70019592,52,35,823
2021-03-21,7,23,1,1,40.27839378,-83.00488535,52,32,708
2021-03-10,3,21,1,1,41.6841907,-83.46827478,52,32,737
2021-06-27,7,12,0,0,41.63505906,-81.70019592,82,61,541
2021-10-14,4,21,1,1,40.27839378,-83.00488535,65,44,768
2021-09-04,6,17,0,0,39.96954615,-83.00929814,77,56,665
2021-12-24,5,7,0,0,41.63505906,-81.70019592,41,26,880
2021-09-18,6,13,0,0,40.27839378,-83.00488535,77,56,701
2021-04-03,6,3,1,1,41.63505906,-81.70019592,63,41,674
2021-06-01,2,19,1,1,41.31717409,-80.76116027,82,61,550
2021-10-04,1,7,1,0,41.63505906,-81.70019592,65,44,743
2021-10-04,1,7,1,0,41.63505906,-81.70019592,65,44,743
2021-10-21,4,2,0,0,41.63505906,-81.70019592,65,44,786
2021-07-20,2,15,1,1,40.27839378,-83.00488535,85,65,564
2021-03-22,1,20,1,1,41.63505906,-81.70019592,52,32,705
2021-11-17,3,20,1,1,41.63505906,-81.70019592,52,35,846
2021-08-07,6,22,0,0,41.63505906,-81.70019592,84,63,598
2021-08-07,6,22,0,0,41.63505906,-81.70019592,84,63,598
2021-07-06,2,8,1,0,40.27839378,-83.00488535,85,65,546
2021-07-27,2,12,0,0,41.63505906,-81.70019592,85,65,576
2021-12-13,1,12,1,1,41.63505906,-81.70019592,41,26,878
2021-07-03,6,22,1,0,41.63505906,-81.70019592,85,65,544
2021-05-30,7,16,1,0,41.12597925,-81.53216702,73,52,553
2021-09-13,1,0,0,1,41.63505906,-81.70019592,77,56,688
2021-09-09,4,17,1,0,39.43861647,-84.57564494,77,56,678
2021-07-06,2,11,0,0,39.43861647,-84.57564494,85,65,546
2021-10-16,6,8,1,1,40.77468434,-82.53648439,65,44,773
2021-06-01,2,12,1,0,40.09160792,-82.48310092,82,61,550
2021-03-08,1,18,1,0,41.45251152,-82.15149047,52,32,742
2021-08-01,7,0,1,0,40.85539824,-84.58609913,84,63,585
2021-05-15,6,19,0,1,41.63505906,-81.70019592,73,52,576
2021-12-07,2,11,1,0,40.84602419,-82.27069277,41,26,874
2021-08-29,7,20,1,0,40.81388809,-81.3656367,84,63,650
2021-06-10,4,19,1,1,41.63505906,-81.70019592,82,61,542
2021-10-05,2,17,1,1,41.63505906,-81.70019592,65,44,745
2021-10-14,4,10,1,0,39.75460934,-84.2906502,65,44,768
2021-12-05,7,16,0,0,41.63505906,-81.70019592,41,26,872
2021-12-05,7,16,0,0,41.63505906,-81.70019592,41,26,872
2021-10-11,1,15,1,0,41.63505906,-81.70019592,65,44,761
2021-03-14,7,2,1,0,39.75460934,-84.2906502,52,32,726
2021-11-19,5,4,1,1,40.77152071,-84.10577943,52,35,849
2021-11-04,4,13,0,0,40.09160792,-82.48310092,52,35,819
2021-06-11,5,11,1,0,40.09160792,-82.48310092,82,61,542
2021-09-26,7,10,1,1,41.63505906,-81.70019592,77,56,722
2021-06-21,1,16,0,0,41.63505906,-81.70019592,82,61,539
2021-12-07,2,7,0,1,41.63505906,-81.70019592,41,26,874
2021-09-01,3,14,1,0,39.6419411,-83.02439163,77,56,657
2021-04-21,3,1,0,1,39.96954615,-83.00929814,63,41,628
2021-08-21,6,16,1,0,38.80396194,-82.99283103,84,63,630
2021-10-09,6,9,1,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,1,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,1,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,1,0,39.75460934,-84.2906502,65,44,755
2021-07-30,5,15,0,0,40.84602419,-82.27069277,85,65,582
2021-11-21,7,0,0,0,41.63505906,-81.70019592,52,35,853
2021-01-01,5,0,1,0,40.09160792,-82.48310092,36,20,876
2021-07-07,3,1,0,0,41.01464011,-80.77629506,85,65,547
2021-09-26,7,1,0,1,40.81388809,-81.3656367,77,56,722
2021-06-18,5,21,1,0,41.63505906,-81.70019592,82,61,539
2021-04-15,4,17,1,0,41.63505906,-81.70019592,63,41,643
2021-07-21,3,18,0,0,38.80396194,-82.99283103,85,65,566
2021-04-17,6,21,0,1,40.77152071,-84.10577943,63,41,638
2021-04-17,6,21,0,1,40.77152071,-84.10577943,63,41,638
2021-08-09,1,0,1,1,40.27839378,-83.00488535,84,63,602
2021-11-05,5,0,1,0,40.05347551,-84.22887177,52,35,821
2021-07-13,2,17,1,0,41.45251152,-82.15149047,85,65,554
2021-11-18,4,20,1,1,40.27839378,-83.00488535,52,35,848
2021-11-18,4,20,1,1,41.63505906,-81.70019592,52,35,848
2021-02-01,1,8,1,0,40.09160792,-82.48310092,40,24,829
2021-05-18,2,17,1,0,40.84602419,-82.27069277,73,52,570
2021-12-18,6,14,1,0,39.96954615,-83.00929814,41,26,880
2021-11-15,1,12,1,0,41.63505906,-81.70019592,52,35,842
2021-12-30,4,16,1,0,41.00193838,-83.66653541,41,26,878
2021-05-08,6,18,1,0,41.01464011,-80.77629506,73,52,590
2021-07-12,1,19,1,0,41.16768284,-81.19740374,85,65,553
2021-07-30,5,14,0,0,40.09160792,-82.48310092,85,65,582
2021-01-01,5,0,1,0,39.04743293,-84.15191789,36,20,876
2021-10-03,7,17,0,0,41.63505906,-81.70019592,65,44,740
2021-10-03,7,17,0,0,41.63505906,-81.70019592,65,44,740
2021-10-07,4,14,1,0,40.38847334,-83.76585017,65,44,750
2021-11-25,4,23,0,0,39.75460934,-84.2906502,52,35,859
2021-10-05,2,22,1,0,41.63505906,-81.70019592,65,44,745
2021-09-09,4,12,1,0,40.27839378,-83.00488535,77,56,678
2021-09-13,1,8,1,0,41.63505906,-81.70019592,77,56,688
2021-10-20,3,22,1,0,39.75460934,-84.2906502,65,44,783
2021-12-03,5,10,1,0,39.19553418,-84.54276767,41,26,870
2021-10-01,5,1,1,1,39.75460934,-84.2906502,65,44,735
2021-12-07,2,17,0,0,41.63505906,-81.70019592,41,26,874
2021-09-10,5,13,1,1,40.27839378,-83.00488535,77,56,680
2021-05-01,6,0,1,0,41.12597925,-81.53216702,73,52,605
2021-05-24,1,16,0,1,41.63505906,-81.70019592,73,52,561
2021-05-24,1,16,0,1,41.63505906,-81.70019592,73,52,561
2021-05-24,1,16,0,1,41.63505906,-81.70019592,73,52,561
2021-06-26,6,10,0,0,39.19553418,-84.54276767,82,61,540
2021-10-06,3,17,0,0,39.96954615,-83.00929814,65,44,748
2021-07-31,6,11,0,0,41.63505906,-81.70019592,85,65,583
2021-08-22,7,19,1,0,40.27839378,-83.00488535,84,63,632
2021-08-01,7,17,1,0,40.09160792,-82.48310092,84,63,585
2021-04-19,1,22,0,0,40.81388809,-81.3656367,63,41,633
2021-04-19,1,22,0,0,40.81388809,-81.3656367,63,41,633
2021-03-25,4,22,0,0,41.63505906,-81.70019592,52,32,697
2021-10-14,4,21,1,1,41.16768284,-81.19740374,65,44,768
2021-03-11,4,15,1,1,40.77468434,-82.53648439,52,32,734
2021-10-25,1,12,1,0,41.63505906,-81.70019592,65,44,796
2021-09-22,3,10,0,0,41.12597925,-81.53216702,77,56,711
2021-03-18,4,15,1,1,40.27839378,-83.00488535,52,32,716
2021-10-29,5,20,1,0,41.63505906,-81.70019592,65,44,805
2021-03-28,7,NULL,1,0,41.35741643,-83.14391569,52,32,689
2021-12-18,6,18,1,0,39.75460934,-84.2906502,41,26,880
2021-04-09,5,22,1,0,40.84602419,-82.27069277,63,41,658
2021-08-28,6,14,1,0,41.63505906,-81.70019592,84,63,647
2021-05-29,6,9,0,1,40.27839378,-83.00488535,73,52,554
2021-10-31,7,1,0,1,41.01464011,-80.77629506,65,44,810
2021-09-24,5,12,0,0,39.75460934,-84.2906502,77,56,717
2021-12-19,7,15,0,0,39.33762773,-83.05702558,41,26,880
2021-12-19,7,0,1,1,41.45251152,-82.15149047,41,26,880
2021-12-25,6,3,0,1,39.43861647,-84.57564494,41,26,880
2021-07-09,5,22,0,1,40.84602419,-82.27069277,85,65,549
2021-12-31,5,15,0,0,40.05347551,-84.22887177,41,26,877
2021-09-20,1,13,0,0,41.00193838,-83.66653541,77,56,706
2021-09-20,1,13,0,0,41.00193838,-83.66653541,77,56,706
2021-06-07,1,10,1,0,41.12597925,-81.53216702,82,61,545
2021-06-07,1,10,1,0,41.12597925,-81.53216702,82,61,545
2021-10-07,4,16,1,0,40.30164138,-81.92001074,65,44,750
2021-10-07,4,16,1,0,40.30164138,-81.92001074,65,44,750
2021-10-07,4,16,1,0,40.30164138,-81.92001074,65,44,750
2021-10-18,1,15,1,1,41.63505906,-81.70019592,65,44,778
2021-05-02,7,9,0,0,40.77152071,-84.10577943,73,52,603
2021-06-05,6,2,0,1,41.6841907,-83.46827478,82,61,546
2021-12-05,7,22,1,0,39.19553418,-84.54276767,41,26,872
2021-12-05,7,22,1,0,39.19553418,-84.54276767,41,26,872
2021-12-05,7,22,1,0,39.19553418,-84.54276767,41,26,872
2021-04-19,1,12,0,0,39.19553418,-84.54276767,63,41,633
2021-09-09,4,17,1,0,40.82884916,-81.88801899,77,56,678
2021-10-18,1,20,1,1,39.75460934,-84.2906502,65,44,778
2021-07-10,6,14,1,0,41.63505906,-81.70019592,85,65,550
2021-06-30,3,18,1,1,40.77468434,-82.53648439,82,61,542
2021-11-14,7,16,0,0,40.33152518,-84.20474278,52,35,840
2021-05-16,7,11,1,1,40.27839378,-83.00488535,73,52,574
2021-05-19,3,15,1,0,41.01464011,-80.77629506,73,52,569
2021-10-27,3,17,0,1,41.63505906,-81.70019592,65,44,800
2021-05-26,3,14,1,1,40.77468434,-82.53648439,73,52,558
2021-04-16,5,2,1,0,40.27839378,-83.00488535,63,41,641
2021-04-16,5,2,1,0,40.27839378,-83.00488535,63,41,641
2021-11-10,3,20,1,0,39.75460934,-84.2906502,52,35,832
2021-11-17,3,9,1,0,41.63505906,-81.70019592,52,35,846
2021-05-31,1,16,1,1,41.63505906,-81.70019592,73,52,551
2021-11-11,4,12,1,0,41.63505906,-81.70019592,52,35,834
2021-03-23,2,19,0,0,41.63505906,-81.70019592,52,32,703
2021-11-11,4,14,0,1,41.6841907,-83.46827478,52,35,834
2021-12-14,2,7,1,0,41.63505906,-81.70019592,41,26,879
2021-10-22,5,17,1,0,39.75460934,-84.2906502,65,44,788
2021-10-13,3,15,0,1,39.96954615,-83.00929814,65,44,766
2021-10-05,2,21,1,0,40.5609114,-84.22174383,65,44,745
2021-09-13,1,18,1,0,41.63505906,-81.70019592,77,56,688
2021-09-13,1,18,1,0,41.63505906,-81.70019592,77,56,688
2021-09-12,7,15,0,1,40.27839378,-83.00488535,77,56,685
2021-03-27,6,12,0,1,41.63505906,-81.70019592,52,32,692
2021-05-01,6,20,1,0,40.27839378,-83.00488535,73,52,605
2021-09-04,6,5,0,0,41.12597925,-81.53216702,77,56,665
2021-10-17,7,18,1,1,41.63505906,-81.70019592,65,44,776
2021-10-17,7,18,1,1,41.63505906,-81.70019592,65,44,776
2021-10-21,4,15,0,0,41.63505906,-81.70019592,65,44,786
2021-09-11,6,23,1,0,41.63505906,-81.70019592,77,56,683
2021-08-12,4,13,1,0,41.63505906,-81.70019592,84,63,609
2021-11-28,7,17,1,0,41.63505906,-81.70019592,52,35,864
2021-02-22,1,21,1,0,39.559883,-83.45609728,40,24,779
2021-10-19,2,22,0,0,39.75460934,-84.2906502,65,44,781
2021-10-27,3,3,1,0,39.75460934,-84.2906502,65,44,800
2021-10-27,3,3,1,0,39.75460934,-84.2906502,65,44,800
2021-03-14,7,19,0,1,39.96954615,-83.00929814,52,32,726
2021-05-20,4,22,1,0,41.01464011,-80.77629506,73,52,567
2021-06-24,4,11,1,0,41.63505906,-81.70019592,82,61,540
2021-06-24,4,11,1,0,41.63505906,-81.70019592,82,61,540
