date_of_incident,Incident_month,day_of_week,incident_hour,sex_code,relationship_name,offense_category,Average high in ºF ,Average low in ºF ,Temp_class,Days with precipitation ,Av. precipitation in inch ,more_light_or_dark,total_sunlight,total_dark
1/1/2021,Jan,Friday,0,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,12,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,10,F,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,9,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,5,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,14,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,2,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,23,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,0,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,3,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,21,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,10,M,ex-couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,0,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,15,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,17,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,9,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,15,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,12,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,23,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,2,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,20,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,4,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,17,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,17,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,9,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,21,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,20,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,6,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,10,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,2,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,8,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,9,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,4,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,0,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,17,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,17,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,6,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,19,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,7,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,0,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,18,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,22,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,5,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,8,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
1/1/2021,Jan,Friday,1,F,couple,Assault,36,20,Cold,13,9.65,Darker,564,876
