day,minutes_of_darkness,dark_is
2021-12-31,877,Decreasing
2021-12-30,878,Decreasing
2021-12-29,878,Decreasing
2021-12-28,879,Decreasing
2021-12-27,879,Decreasing
2021-12-26,879,Decreasing
2021-12-25,880,Increasing
2021-12-24,880,Increasing
2021-12-23,880,Increasing
2021-12-22,880,Increasing
2021-12-21,880,Increasing
2021-12-20,880,Increasing
2021-12-19,880,Increasing
2021-12-18,880,Increasing
2021-12-17,880,Increasing
2021-12-16,879,Increasing
2021-12-15,879,Increasing
2021-12-14,879,Increasing
2021-12-13,878,Increasing
2021-12-12,878,Increasing
2021-12-11,877,Increasing
2021-12-10,876,Increasing
2021-12-09,876,Increasing
2021-12-08,875,Increasing
2021-12-07,874,Increasing
2021-12-06,873,Increasing
2021-12-05,872,Increasing
2021-12-04,871,Increasing
2021-12-03,870,Increasing
2021-12-02,869,Increasing
2021-12-01,868,Increasing
2021-11-30,866,Increasing
2021-11-29,865,Increasing
2021-11-28,864,Increasing
2021-11-27,862,Increasing
2021-11-26,861,Increasing
2021-11-25,859,Increasing
2021-11-24,858,Increasing
2021-11-23,856,Increasing
2021-11-22,855,Increasing
2021-11-21,853,Increasing
2021-11-20,851,Increasing
2021-11-19,849,Increasing
2021-11-18,848,Increasing
2021-11-17,846,Increasing
2021-11-16,844,Increasing
2021-11-15,842,Increasing
2021-11-14,840,Increasing
2021-11-13,838,Increasing
2021-11-12,836,Increasing
2021-11-11,834,Increasing
2021-11-10,832,Increasing
2021-11-09,830,Increasing
2021-11-08,828,Increasing
2021-11-07,826,Increasing
2021-11-06,823,Increasing
2021-11-05,821,Increasing
2021-11-04,819,Increasing
2021-11-03,817,Increasing
2021-11-02,814,Increasing
2021-11-01,812,Increasing
2021-10-31,810,Increasing
2021-10-30,807,Increasing
2021-10-29,805,Increasing
2021-10-28,803,Increasing
2021-10-27,800,Increasing
2021-10-26,798,Increasing
2021-10-25,796,Increasing
2021-10-24,793,Increasing
2021-10-23,791,Increasing
2021-10-22,788,Increasing
2021-10-21,786,Increasing
2021-10-20,783,Increasing
2021-10-19,781,Increasing
2021-10-18,778,Increasing
2021-10-17,776,Increasing
2021-10-16,773,Increasing
2021-10-15,771,Increasing
2021-10-14,768,Increasing
2021-10-13,766,Increasing
2021-10-12,763,Increasing
2021-10-11,761,Increasing
2021-10-10,758,Increasing
2021-10-09,755,Increasing
2021-10-08,753,Increasing
2021-10-07,750,Increasing
2021-10-06,748,Increasing
2021-10-05,745,Increasing
2021-10-04,743,Increasing
2021-10-03,740,Increasing
2021-10-02,737,Increasing
2021-10-01,735,Increasing
2021-09-30,732,Increasing
2021-09-29,730,Increasing
2021-09-28,727,Increasing
2021-09-27,724,Increasing
2021-09-26,722,Increasing
2021-09-25,719,Increasing
2021-09-24,717,Increasing
2021-09-23,714,Increasing
2021-09-22,711,Increasing
2021-09-21,709,Increasing
2021-09-20,706,Increasing
2021-09-19,703,Increasing
2021-09-18,701,Increasing
2021-09-17,698,Increasing
2021-09-16,696,Increasing
2021-09-15,693,Increasing
2021-09-14,690,Increasing
2021-09-13,688,Increasing
2021-09-12,685,Increasing
2021-09-11,683,Increasing
2021-09-10,680,Increasing
2021-09-09,678,Increasing
2021-09-08,675,Increasing
2021-09-07,672,Increasing
2021-09-06,670,Increasing
2021-09-05,667,Increasing
2021-09-04,665,Increasing
2021-09-03,662,Increasing
2021-09-02,660,Increasing
2021-09-01,657,Increasing
2021-08-31,655,Increasing
2021-08-30,652,Increasing
2021-08-29,650,Increasing
2021-08-28,647,Increasing
2021-08-27,645,Increasing
2021-08-26,642,Increasing
2021-08-25,640,Increasing
2021-08-24,637,Increasing
2021-08-23,635,Increasing
2021-08-22,632,Increasing
2021-08-21,630,Increasing
2021-08-20,628,Increasing
2021-08-19,625,Increasing
2021-08-18,623,Increasing
2021-08-17,621,Increasing
2021-08-16,618,Increasing
2021-08-15,616,Increasing
2021-08-14,614,Increasing
2021-08-13,611,Increasing
2021-08-12,609,Increasing
2021-08-11,607,Increasing
2021-08-10,604,Increasing
2021-08-09,602,Increasing
2021-08-08,600,Increasing
2021-08-07,598,Increasing
2021-08-06,596,Increasing
2021-08-05,594,Increasing
2021-08-04,592,Increasing
2021-08-03,589,Increasing
2021-08-02,587,Increasing
2021-08-01,585,Increasing
2021-07-31,583,Increasing
2021-07-30,582,Increasing
2021-07-29,580,Increasing
2021-07-28,578,Increasing
2021-07-27,576,Increasing
2021-07-26,574,Increasing
2021-07-25,572,Increasing
2021-07-24,571,Increasing
2021-07-23,569,Increasing
2021-07-22,567,Increasing
2021-07-21,566,Increasing
2021-07-20,564,Increasing
2021-07-19,562,Increasing
2021-07-18,561,Increasing
2021-07-17,559,Increasing
2021-07-16,558,Increasing
2021-07-15,557,Increasing
2021-07-14,555,Increasing
2021-07-13,554,Increasing
2021-07-12,553,Increasing
2021-07-11,552,Increasing
2021-07-10,550,Increasing
2021-07-09,549,Increasing
2021-07-08,548,Increasing
2021-07-07,547,Increasing
2021-07-06,546,Increasing
2021-07-05,546,Increasing
2021-07-04,545,Increasing
2021-07-03,544,Increasing
2021-07-02,543,Increasing
2021-07-01,543,Increasing
2021-06-30,542,Increasing
2021-06-29,541,Increasing
2021-06-28,541,Increasing
2021-06-27,541,Increasing
2021-06-26,540,Increasing
2021-06-25,540,Increasing
2021-06-24,540,Increasing
2021-06-23,539,Decreasing
2021-06-22,539,Decreasing
2021-06-21,539,Decreasing
2021-06-20,539,Decreasing
2021-06-19,539,Decreasing
2021-06-18,539,Decreasing
2021-06-17,540,Decreasing
2021-06-16,540,Decreasing
2021-06-15,540,Decreasing
2021-06-14,540,Decreasing
2021-06-13,541,Decreasing
2021-06-12,541,Decreasing
2021-06-11,542,Decreasing
2021-06-10,542,Decreasing
2021-06-09,543,Decreasing
2021-06-08,544,Decreasing
2021-06-07,545,Decreasing
2021-06-06,545,Decreasing
2021-06-05,546,Decreasing
2021-06-04,547,Decreasing
2021-06-03,548,Decreasing
2021-06-02,549,Decreasing
2021-06-01,550,Decreasing
2021-05-31,551,Decreasing
2021-05-30,553,Decreasing
2021-05-29,554,Decreasing
2021-05-28,555,Decreasing
2021-05-27,556,Decreasing
2021-05-26,558,Decreasing
2021-05-25,559,Decreasing
2021-05-24,561,Decreasing
2021-05-23,562,Decreasing
2021-05-22,564,Decreasing
2021-05-21,565,Decreasing
2021-05-20,567,Decreasing
2021-05-19,569,Decreasing
2021-05-18,570,Decreasing
2021-05-17,572,Decreasing
2021-05-16,574,Decreasing
2021-05-15,576,Decreasing
2021-05-14,578,Decreasing
2021-05-13,580,Decreasing
2021-05-12,582,Decreasing
2021-05-11,584,Decreasing
2021-05-10,586,Decreasing
2021-05-09,588,Decreasing
2021-05-08,590,Decreasing
2021-05-07,592,Decreasing
2021-05-06,594,Decreasing
2021-05-05,596,Decreasing
2021-05-04,598,Decreasing
2021-05-03,600,Decreasing
2021-05-02,603,Decreasing
2021-05-01,605,Decreasing
2021-04-30,607,Decreasing
2021-04-29,609,Decreasing
2021-04-28,612,Decreasing
2021-04-27,614,Decreasing
2021-04-26,616,Decreasing
2021-04-25,619,Decreasing
2021-04-24,621,Decreasing
2021-04-23,623,Decreasing
2021-04-22,626,Decreasing
2021-04-21,628,Decreasing
2021-04-20,631,Decreasing
2021-04-19,633,Decreasing
2021-04-18,636,Decreasing
2021-04-17,638,Decreasing
2021-04-16,641,Decreasing
2021-04-15,643,Decreasing
2021-04-14,646,Decreasing
2021-04-13,648,Decreasing
2021-04-12,651,Decreasing
2021-04-11,653,Decreasing
2021-04-10,656,Decreasing
2021-04-09,658,Decreasing
2021-04-08,661,Decreasing
2021-04-07,663,Decreasing
2021-04-06,666,Decreasing
2021-04-05,669,Decreasing
2021-04-04,671,Decreasing
2021-04-03,674,Decreasing
2021-04-02,676,Decreasing
2021-04-01,679,Decreasing
2021-03-31,682,Decreasing
2021-03-30,684,Decreasing
2021-03-29,687,Decreasing
2021-03-28,689,Decreasing
2021-03-27,692,Decreasing
2021-03-26,695,Decreasing
2021-03-25,697,Decreasing
2021-03-24,700,Decreasing
2021-03-23,703,Decreasing
2021-03-22,705,Decreasing
2021-03-21,708,Decreasing
2021-03-20,711,Decreasing
2021-03-19,713,Decreasing
2021-03-18,716,Decreasing
2021-03-17,719,Decreasing
2021-03-16,721,Decreasing
2021-03-15,724,Decreasing
2021-03-14,726,Decreasing
2021-03-13,729,Decreasing
2021-03-12,732,Decreasing
2021-03-11,734,Decreasing
2021-03-10,737,Decreasing
2021-03-09,740,Decreasing
2021-03-08,742,Decreasing
2021-03-07,745,Decreasing
