date_of_incident,incident_month,day_of_week,incident_hour,sex_code,relationship_name,offense_category_name,crime_against,county_name,lat,lon,region,average_high,average_low,avg_temp_class,days_with_precipitation_,av._precipitation_in_inch_,minutes_of_dark,day_class,is_male,is_a_couple,good_weather
2021-06-19,Jun,Saturday,11.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,539,Sunny,0,0,1
2021-06-19,Jun,Saturday,11.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,539,Sunny,0,0,1
2021-06-03,Jun,Thursday,12.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,548,Sunny,0,1,1
2021-12-06,Dec,Monday,19.0,M,ex-couple,Sex Offense,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,873,Dark,1,0,0
2021-12-29,Dec,Wednesday,8.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,878,Dark,0,0,0
2021-11-12,Nov,Friday,12.0,M,ex-couple,Extortion or Blackmail,Property,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,836,Dark,1,0,0
2021-05-18,May,Tuesday,21.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,73,52,Cold,12,3.5,570,Sunny,0,1,1
2021-04-30,Apr,Friday,11.0,M,couple,Assault,Person,Trumbull,41.31717409,-80.76116027,North,63,41,Cold,13,3.23,607,Sunny,1,1,1
2021-08-08,Aug,Sunday,14.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,600,Sunny,0,0,1
2021-08-08,Aug,Sunday,4.0,M,couple,Assault,Person,Greene,39.69148045,-83.88988675,South,84,63,Warm,10,3.11,600,Sunny,1,1,1
2021-06-20,Jun,Sunday,4.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,539,Sunny,0,0,1
2021-02-27,Feb,Saturday,16.0,F,ex-couple,Assault,Person,Lucas,41.6841907,-83.46827478,Central,40,24,Cold,11,6.97,766,Dark,0,0,0
2021-08-21,Aug,Saturday,0.0,M,couple,Assault,Person,Clinton,39.41497801,-83.80837886,South,84,63,Warm,10,3.11,630,Sunny,1,1,1
2021-01-15,Jan,Friday,11.0,M,couple,Assault,Person,Stark,40.81388809,-81.3656367,North,36,20,Cold,13,9.65,860,Dark,1,1,0
2021-01-17,Jan,Sunday,23.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,36,20,Cold,13,9.65,857,Dark,0,0,0
2021-01-17,Jan,Sunday,23.0,F,ex-couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,36,20,Cold,13,9.65,857,Dark,0,0,0
