"id","city","timestamp","temperature","humidity","air_pressure","day_category","current_status","speed_of_wind","visibility_in_meters","pop","sys"
1,"West Union","2023-10-30 17:00:00","280.29",83,1020,"Clouds","overcast clouds","3.62",10000,"0","d"
2,"West Union","2023-10-30 20:00:00","279.63",80,1021,"Clouds","overcast clouds","2.62",10000,"0","n"
3,"West Union","2023-10-30 23:00:00","277.22",78,1022,"Clouds","broken clouds","0.92",10000,"0","n"
4,"West Union","2023-10-31 02:00:00","273.93",80,1023,"Clouds","broken clouds","1.77",10000,"0","n"
5,"West Union","2023-10-31 05:00:00","272.51",80,1022,"Clear","clear sky","1.6",10000,"0","n"
6,"West Union","2023-10-31 08:00:00","271.31",81,1023,"Clear","clear sky","0.97",10000,"0","d"
7,"West Union","2023-10-31 11:00:00","278.11",49,1022,"Clear","clear sky","1.47",10000,"0","d"
8,"West Union","2023-10-31 14:00:00","281.05",36,1019,"Clear","clear sky","3.64",10000,"0","d"
9,"West Union","2023-10-31 17:00:00","280.98",38,1018,"Clear","clear sky","4.63",10000,"0","d"
10,"West Union","2023-10-31 20:00:00","275.17",74,1021,"Clouds","few clouds","5.03",10000,"0","n"
11,"West Union","2023-10-31 23:00:00","272.77",52,1023,"Clouds","scattered clouds","3.79",10000,"0","n"
12,"West Union","2023-11-01 02:00:00","271.56",63,1024,"Clouds","scattered clouds","4.13",10000,"0","n"
13,"West Union","2023-11-01 05:00:00","273.19",76,1024,"Clouds","broken clouds","4.7",10000,"0","n"
14,"West Union","2023-11-01 08:00:00","274.29",71,1026,"Clouds","broken clouds","3.83",10000,"0","n"
15,"West Union","2023-11-01 11:00:00","276.5",61,1028,"Clouds","broken clouds","3.72",10000,"0","d"
16,"West Union","2023-11-01 14:00:00","280",44,1027,"Clouds","scattered clouds","2.39",10000,"0","d"
17,"West Union","2023-11-01 17:00:00","280.44",40,1027,"Clear","clear sky","1.77",10000,"0","d"
18,"West Union","2023-11-01 20:00:00","274.95",62,1028,"Clear","clear sky","0.83",10000,"0","n"
19,"West Union","2023-11-01 23:00:00","273.69",67,1029,"Clear","clear sky","1.42",10000,"0","n"
20,"West Union","2023-11-02 02:00:00","272.7",71,1030,"Clear","clear sky","1.59",10000,"0","n"
21,"West Union","2023-11-02 05:00:00","271.85",76,1030,"Clouds","few clouds","1.69",10000,"0","n"
22,"West Union","2023-11-02 08:00:00","271.27",79,1031,"Clouds","few clouds","1.87",10000,"0","n"
23,"West Union","2023-11-02 11:00:00","278.71",49,1031,"Clouds","scattered clouds","3.37",10000,"0","d"
24,"West Union","2023-11-02 14:00:00","283.36",33,1029,"Clouds","broken clouds","4.35",10000,"0","d"
25,"West Union","2023-11-02 17:00:00","283.62",39,1027,"Clouds","overcast clouds","3.57",10000,"0","d"
